port,TCP,TCPflag,UDP
694,Cerrado,RA,Cerrado
695,Cerrado,RA,Cerrado
696,Cerrado,RA,Cerrado
697,Cerrado,RA,Cerrado
698,Cerrado,RA,Cerrado
699,Cerrado,RA,Cerrado
700,Cerrado,RA,Cerrado
701,Cerrado,RA,Cerrado
702,Cerrado,RA,Cerrado
703,Cerrado,RA,Cerrado
704,Cerrado,RA,Cerrado
705,Cerrado,RA,Cerrado
706,Cerrado,RA,Cerrado
707,Cerrado,RA,Cerrado
708,Cerrado,RA,Cerrado
709,Cerrado,RA,Cerrado
710,Cerrado,RA,Cerrado
711,Cerrado,RA,Cerrado
712,Cerrado,RA,Cerrado
713,Cerrado,RA,Cerrado
714,Cerrado,RA,Cerrado
715,Cerrado,RA,Cerrado
716,Cerrado,RA,Cerrado
717,Cerrado,RA,Cerrado
718,Cerrado,RA,Cerrado
719,Cerrado,RA,Cerrado
720,Cerrado,RA,Cerrado
721,Cerrado,RA,Cerrado
722,Cerrado,RA,Cerrado
723,Cerrado,RA,Cerrado
724,Cerrado,RA,Cerrado
725,Cerrado,RA,Cerrado
726,Cerrado,RA,Cerrado
727,Cerrado,RA,Cerrado
728,Cerrado,RA,Cerrado
729,Cerrado,RA,Cerrado
730,Cerrado,RA,Cerrado
731,Cerrado,RA,Cerrado
732,Cerrado,RA,Cerrado
733,Cerrado,RA,Cerrado
734,Cerrado,RA,Cerrado
735,Cerrado,RA,Cerrado
736,Cerrado,RA,Cerrado
737,Cerrado,RA,Cerrado
738,Cerrado,RA,Cerrado
739,Cerrado,RA,Cerrado
740,Cerrado,RA,Cerrado
741,Cerrado,RA,Cerrado
742,Cerrado,RA,Cerrado
743,Cerrado,RA,Cerrado
744,Cerrado,RA,Cerrado
745,Cerrado,RA,Cerrado
746,Cerrado,RA,Cerrado
747,Cerrado,RA,Cerrado
748,Cerrado,RA,Cerrado
749,Cerrado,RA,Cerrado
750,Cerrado,RA,Cerrado
751,Cerrado,RA,Cerrado
752,Cerrado,RA,Cerrado
753,Cerrado,RA,Cerrado
754,Cerrado,RA,Cerrado
755,Cerrado,RA,Cerrado
756,Cerrado,RA,Cerrado
757,Cerrado,RA,Cerrado
758,Cerrado,RA,Cerrado
759,Cerrado,RA,Cerrado
760,Cerrado,RA,Cerrado
761,Cerrado,RA,Cerrado
762,Cerrado,RA,Cerrado
763,Cerrado,RA,Cerrado
764,Cerrado,RA,Cerrado
765,Cerrado,RA,Cerrado
766,Cerrado,RA,Cerrado
767,Cerrado,RA,Cerrado
768,Cerrado,RA,Cerrado
769,Cerrado,RA,Cerrado
770,Cerrado,RA,Cerrado
771,Cerrado,RA,Cerrado
772,Cerrado,RA,Cerrado
773,Cerrado,RA,Cerrado
774,Cerrado,RA,Cerrado
775,Cerrado,RA,Cerrado
776,Cerrado,RA,Cerrado
777,Cerrado,RA,Cerrado
778,Cerrado,RA,Cerrado
779,Cerrado,RA,Cerrado
780,Cerrado,RA,Cerrado
781,Cerrado,RA,Cerrado
782,Cerrado,RA,Cerrado
783,Cerrado,RA,Cerrado
784,Cerrado,RA,Cerrado
785,Cerrado,RA,Cerrado
786,Cerrado,RA,Cerrado
787,Cerrado,RA,Cerrado
788,Cerrado,RA,Cerrado
789,Cerrado,RA,Cerrado
790,Cerrado,RA,Cerrado
791,Cerrado,RA,Cerrado
792,Cerrado,RA,Cerrado
793,Cerrado,RA,Cerrado
794,Cerrado,RA,Cerrado
795,Cerrado,RA,Cerrado
796,Cerrado,RA,Cerrado
797,Cerrado,RA,Cerrado
798,Cerrado,RA,Cerrado
799,Cerrado,RA,Cerrado
800,Cerrado,RA,Cerrado
801,Cerrado,RA,Cerrado
802,Cerrado,RA,Cerrado
803,Cerrado,RA,Cerrado
804,Cerrado,RA,Cerrado
805,Cerrado,RA,Cerrado
806,Cerrado,RA,Cerrado
807,Cerrado,RA,Cerrado
808,Cerrado,RA,Cerrado
809,Cerrado,RA,Cerrado
810,Cerrado,RA,Cerrado
811,Cerrado,RA,Cerrado
812,Cerrado,RA,Cerrado
813,Cerrado,RA,Cerrado
